id,estado,faixa_etaria,genero,classe_economica,usa_internet,horas_por_dia,recebeu_mensagem_estranha,clicou_link_suspeito,compartilhou_dados_pessoais,recebeu_cyberbullying,viu_conteudo_inapropriado,recebeu_golpe,usa_senha_forte,verifica_privacidade,fala_com_responsavel,tem_antivirus,sabe_reconhecer_golpe,usa_youtube,usa_tiktok,usa_instagram,usa_whatsapp,usa_discord,usa_twitch,usa_facebook,usa_telegram,usa_snapchat,tipo_golpe_sofreu,interesse_seguranca,score_conhecimento,risco_total,perfil_risco
11,SP,7-8 anos,Masculino,D/E,1,4.3601854439941725,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,Social engineering,Alto,51.42201180864558,1,MÉDIO
12,SC,15-16 anos,Feminino,D/E,1,7.781667096353287,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,Nenhum,Muito alto,0.0,1,MÉDIO
13,PA,13-14 anos,Feminino,A,1,5.637616679256512,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,Nenhum,Médio,26.516860279525396,1,MÉDIO
14,SP,13-14 anos,Feminino,B1,1,4.958157925233846,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,1,Nenhum,Alto,50.87799769381098,1,MÉDIO
15,SP,13-14 anos,Masculino,C,1,8.792246552508693,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,Nenhum,Muito alto,24.813442536093593,2,ALTO
16,SP,15-16 anos,Masculino,D/E,1,2.2783300433978417,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,Nenhum,Médio,50.779631640578636,1,MÉDIO
17,RJ,7-8 anos,Masculino,B2,1,2.7810888891075605,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,Nenhum,Baixo,28.91897558587667,1,MÉDIO
18,RS,13-14 anos,Masculino,B2,1,8.425422822552544,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,Nenhum,Muito baixo,48.812922830222796,2,MÉDIO
19,MG,13-14 anos,Feminino,D/E,1,5.091921872097868,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,Nenhum,Baixo,23.30332227592414,0,MÉDIO
20,RJ,15-16 anos,Feminino,A,1,4.514833927420413,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,Nenhum,Médio,29.91341268012592,2,ALTO
21,PR,13-14 anos,Feminino,B2,1,2.6015913498087135,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,Malware,Alto,50.7231438749339,2,MÉDIO
22,SP,9-10 anos,Masculino,C,1,5.895392532790024,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,Nenhum,Alto,71.22773498074874,1,MÉDIO
23,RJ,11-12 anos,Feminino,C,1,6.088919739054925,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,Nenhum,Médio,27.182480968595264,1,MÉDIO
24,MG,11-12 anos,Feminino,C,1,2.8110112783302075,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,Nenhum,Médio,23.764526930986673,0,MÉDIO
25,BA,15-16 anos,Feminino,B2,1,4.719448828899143,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Nenhum,Alto,18.193932903573653,2,ALTO
26,CE,11-12 anos,Feminino,C,1,4.328968335933868,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,Nenhum,Muito alto,27.2263091873009,3,CRÍTICO
27,SP,11-12 anos,Masculino,C,1,5.511954292837542,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,Nenhum,Médio,22.978260531163734,2,ALTO
28,BA,15-16 anos,Masculino,C,1,2.7614995155587123,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,Nenhum,Alto,40.73452370867244,0,MÉDIO
29,PR,7-8 anos,Feminino,C,1,7.5038949090263145,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,Nenhum,Médio,68.47033096429519,2,MÉDIO
30,SP,15-16 anos,Masculino,B2,1,6.831647563195208,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,Nenhum,Alto,28.11843975066175,0,MÉDIO
31,PR,13-14 anos,Masculino,B1,1,4.273648882534368,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,Nenhum,Baixo,51.16691005798119,2,MÉDIO
32,SP,15-16 anos,Feminino,B1,0,4.567162576723257,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,Nenhum,Médio,49.12827866368711,2,MÉDIO
33,SP,11-12 anos,Feminino,B2,1,4.727155699444768,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,Nenhum,Alto,52.25749413596114,1,MÉDIO
34,SC,7-8 anos,Feminino,C,1,3.4433828939869935,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,Nenhum,Muito alto,27.921305994417267,1,MÉDIO
35,SC,15-16 anos,Masculino,D/E,1,4.113141163529929,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,Nenhum,Alto,53.872129251721994,1,MÉDIO
36,PA,15-16 anos,Masculino,C,1,4.459459264650782,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,Nenhum,Muito alto,53.79812744117785,2,MÉDIO
37,RJ,15-16 anos,Feminino,D/E,1,8.225736741414256,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Nenhum,Alto,21.976960624546038,1,MÉDIO
38,SP,9-10 anos,Feminino,B2,1,6.893236616660873,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,Extorsão,Alto,38.26224174822596,3,ALTO
39,PE,15-16 anos,Feminino,C,1,6.869309414673247,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,Nenhum,Alto,47.181466804918536,0,MÉDIO
40,BA,15-16 anos,Feminino,B2,1,5.73985122600878,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,Nenhum,Médio,12.078339260458456,1,MÉDIO
41,SP,13-14 anos,Feminino,B1,1,2.765345982137531,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,Nenhum,Alto,28.779045968420792,0,MÉDIO
42,BA,15-16 anos,Feminino,A,1,4.917017790845241,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,Nenhum,Muito alto,22.875165402565713,1,MÉDIO
43,SP,15-16 anos,Masculino,C,1,6.94097691922676,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,Nenhum,Muito alto,22.743245860480673,0,MÉDIO
44,SC,13-14 anos,Feminino,D/E,1,2.483470741265424,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,Nenhum,Alto,56.21760080910879,2,MÉDIO
45,RJ,9-10 anos,Feminino,B1,1,6.273106413746529,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,Nenhum,Alto,19.21354653669963,0,MÉDIO
46,PE,13-14 anos,Feminino,A,1,9.645218450525533,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,Nenhum,Médio,3.2563799896305405,1,MÉDIO
47,RJ,7-8 anos,Feminino,D/E,1,7.123633291979464,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,Nenhum,Alto,42.840278701531645,1,MÉDIO
48,RS,13-14 anos,Feminino,B2,1,7.828058271123975,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,Nenhum,Muito alto,55.62282639702302,1,MÉDIO
49,RS,13-14 anos,Masculino,D/E,1,5.436677500884321,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,Nenhum,Muito baixo,0.0,1,MÉDIO
50,SP,7-8 anos,Feminino,C,0,6.93586389752998,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,Nenhum,Muito alto,54.8074797684562,0,BAIXO
51,SC,11-12 anos,Masculino,D/E,1,3.564293571291929,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,Nenhum,Alto,47.7554745562022,3,MÉDIO
52,CE,9-10 anos,Feminino,C,1,6.591727624682453,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,Nenhum,Alto,59.934333805471226,1,MÉDIO
53,SC,15-16 anos,Masculino,C,1,6.308776268121527,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,Nenhum,Médio,76.29787998452147,1,MÉDIO
54,PA,15-16 anos,Masculino,C,1,5.579822348075326,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,Nenhum,Muito baixo,2.856965505825845,2,ALTO
55,PR,7-8 anos,Masculino,C,1,7.632014839436996,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,Nenhum,Muito alto,55.66396118221965,2,MÉDIO
56,SC,15-16 anos,Feminino,C,1,3.922430324305223,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,Nenhum,Muito alto,8.723425271782256,2,ALTO
57,SP,13-14 anos,Masculino,B1,1,4.6258849670526745,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,Nenhum,Muito alto,23.75139808691842,2,ALTO
58,SP,11-12 anos,Masculino,C,1,5.1909240827165934,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,Nenhum,Alto,0.7586158990475682,0,MÉDIO
59,SP,7-8 anos,Feminino,C,1,2.940778057821199,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,Nenhum,Médio,1.904779709003097,2,ALTO
60,RJ,13-14 anos,Masculino,D/E,1,5.4538638876004955,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,Nenhum,Médio,6.188432282008528,1,MÉDIO
61,MG,15-16 anos,Feminino,C,1,1.562139174092306,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,Nenhum,Baixo,54.48906305375384,2,MÉDIO
62,RJ,15-16 anos,Feminino,C,1,7.093909068856418,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,Nenhum,Alto,41.02422759032529,0,MÉDIO
63,PA,7-8 anos,Feminino,B1,1,5.093274733131931,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Nenhum,Muito alto,18.06004166066043,1,MÉDIO
64,MG,7-8 anos,Masculino,C,1,3.9582141921924734,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,Nenhum,Alto,28.63333763410207,0,MÉDIO
65,RJ,13-14 anos,Feminino,C,1,3.331252775409757,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,Fake giveaway,Muito alto,33.47326551871502,1,MÉDIO
66,RS,11-12 anos,Masculino,D/E,1,4.530841940761625,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,Nenhum,Baixo,0.0,1,MÉDIO
67,SP,11-12 anos,Masculino,D/E,1,6.3765194215448275,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,Nenhum,Muito alto,2.921575531572653,0,MÉDIO
68,PA,11-12 anos,Masculino,A,1,6.095477957475121,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Nenhum,Muito alto,0.0,1,MÉDIO
69,SP,15-16 anos,Feminino,D/E,1,3.588924105443078,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,Nenhum,Baixo,25.731985533025714,1,MÉDIO
70,SC,15-16 anos,Masculino,A,1,3.307920654744731,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,Nenhum,Alto,21.192404030857148,1,MÉDIO
71,CE,13-14 anos,Feminino,B2,0,6.313797412639294,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,Nenhum,Alto,0.0,2,ALTO
72,SP,15-16 anos,Feminino,C,1,3.555305190769941,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Nenhum,Alto,0.0,3,CRÍTICO
73,SP,11-12 anos,Feminino,B1,1,5.119819548159007,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,Phishing,Muito alto,26.27921148009988,1,MÉDIO
74,PA,13-14 anos,Masculino,C,1,5.2475092850485545,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Malware,Alto,82.54432488984789,4,MÉDIO
75,CE,11-12 anos,Feminino,A,0,5.624124263453477,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,Nenhum,Médio,70.90865821864296,1,MÉDIO
76,CE,13-14 anos,Feminino,B1,1,6.716540860363743,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,Nenhum,Baixo,32.348973930320675,0,MÉDIO
77,CE,15-16 anos,Feminino,C,1,2.4740741262653545,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,Nenhum,Alto,78.55394868483636,1,MÉDIO
78,SP,13-14 anos,Masculino,C,1,1.1776813494790246,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,Nenhum,Alto,0.0,0,MÉDIO
79,MG,11-12 anos,Feminino,D/E,1,3.8651054375432965,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,Nenhum,Muito alto,0.0,2,ALTO
80,SP,13-14 anos,Masculino,C,0,8.603056815664372,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,Malware,Muito alto,18.950829200453754,2,ALTO
81,PA,9-10 anos,Masculino,C,1,9.044348200174756,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,Nenhum,Muito alto,20.927033186940385,1,MÉDIO
82,PR,15-16 anos,Masculino,B2,1,8.662354271131775,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,Nenhum,Baixo,0.0,1,MÉDIO
83,RJ,13-14 anos,Feminino,A,1,4.614037264478621,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,Nenhum,Médio,25.0199536503654,2,ALTO
84,SP,13-14 anos,Masculino,B1,1,1.4357698360303424,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,Nenhum,Médio,97.83718201040152,2,MÉDIO
85,RJ,13-14 anos,Masculino,C,1,0.5,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,Nenhum,Baixo,96.3874197978503,1,MÉDIO
86,RJ,13-14 anos,Feminino,C,1,3.771923676901178,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,Nenhum,Muito alto,31.048339998720735,1,MÉDIO
87,CE,7-8 anos,Feminino,C,1,4.60385273970128,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,Nenhum,Muito alto,50.741035599209866,2,MÉDIO
88,PR,13-14 anos,Masculino,C,1,7.601250802111918,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,Nenhum,Alto,26.49398014465626,0,MÉDIO
89,PA,11-12 anos,Feminino,C,1,6.735610919084891,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,Nenhum,Muito alto,30.140131765040703,1,MÉDIO
90,BA,15-16 anos,Masculino,A,1,5.454810157983241,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,Nenhum,Alto,69.19981628901886,0,BAIXO
91,SP,15-16 anos,Masculino,B1,1,3.2203104581177167,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,Phishing,Alto,74.05924011905397,1,MÉDIO
92,CE,15-16 anos,Masculino,D/E,1,3.0784408835102193,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,Nenhum,Alto,30.377207883573696,2,ALTO
93,CE,13-14 anos,Feminino,C,1,5.508255374142871,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,Nenhum,Alto,42.771201163718025,0,MÉDIO
94,RS,13-14 anos,Masculino,D/E,1,6.394101957679453,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,Nenhum,Médio,26.58059012695141,1,MÉDIO
95,CE,9-10 anos,Masculino,B1,1,5.783762524491169,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,Nenhum,Médio,32.385842220486126,2,ALTO
96,BA,15-16 anos,Masculino,D/E,1,2.9308040807866904,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,Nenhum,Alto,65.86303547715454,2,MÉDIO
97,RS,11-12 anos,Feminino,B2,1,6.301335257584173,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,Nenhum,Alto,32.403983174424496,0,MÉDIO
98,MG,13-14 anos,Masculino,A,1,5.851821934202823,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,Nenhum,Muito alto,3.885753334096739,1,MÉDIO
99,SP,11-12 anos,Masculino,D/E,1,2.8586671876196434,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,Nenhum,Alto,25.939847916791233,0,MÉDIO
100,SP,9-10 anos,Masculino,B2,1,3.4313580593994883,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,Nenhum,Muito alto,30.745555215734647,0,MÉDIO
101,SP,13-14 anos,Masculino,C,0,6.376991949123133,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,Nenhum,Muito alto,26.857501481331443,0,MÉDIO
102,PR,7-8 anos,Feminino,B1,1,4.530984929708218,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,Nenhum,Alto,45.121865944751455,3,MÉDIO
103,RJ,15-16 anos,Feminino,C,0,8.178294603272914,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,Nenhum,Baixo,22.893689930136762,2,ALTO
104,BA,11-12 anos,Masculino,D/E,1,6.0022585521291525,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,Nenhum,Alto,24.578243732249096,2,ALTO
105,SC,7-8 anos,Masculino,B2,1,4.026737623621462,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,Nenhum,Muito alto,53.05230538090434,1,MÉDIO
106,RJ,13-14 anos,Masculino,C,1,4.979588799218135,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,Nenhum,Alto,71.4048949264957,1,MÉDIO
107,MG,7-8 anos,Masculino,B1,1,5.126766785275437,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,Nenhum,Muito alto,100.0,1,MÉDIO
108,CE,11-12 anos,Masculino,C,1,3.54321937351658,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,Nenhum,Muito alto,0.23539899092573874,2,ALTO
109,RJ,15-16 anos,Feminino,B2,1,3.1748236036447466,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,Nenhum,Médio,0.8187887713451367,2,ALTO
110,SP,7-8 anos,Feminino,B2,1,6.402779787618998,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,Nenhum,Médio,100.0,1,MÉDIO
111,RJ,15-16 anos,Feminino,B2,1,6.690546594084191,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,Nenhum,Muito alto,0.0,1,MÉDIO
112,SP,7-8 anos,Feminino,B1,1,6.207562939105918,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,Nenhum,Médio,20.30992749957625,1,MÉDIO
113,SC,11-12 anos,Feminino,D/E,1,8.030636188647604,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,Nenhum,Alto,24.134791947119474,4,CRÍTICO
114,PA,15-16 anos,Feminino,B2,1,3.9164535279767962,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,Extorsão,Médio,42.165122249179625,1,MÉDIO
115,PR,11-12 anos,Masculino,B2,1,8.34854153214226,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,Nenhum,Médio,2.6043257652391816,0,MÉDIO
116,PA,9-10 anos,Feminino,C,1,3.1981577628916944,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,Nenhum,Médio,27.432173497076565,2,ALTO
117,PA,11-12 anos,Masculino,B2,1,2.9746288732630144,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,Nenhum,Alto,25.987020649166535,2,ALTO
118,SP,11-12 anos,Feminino,C,1,1.4800822357014995,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,Nenhum,Muito alto,43.52677067624975,2,MÉDIO
119,PA,15-16 anos,Feminino,D/E,1,4.108409372346366,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,Nenhum,Alto,20.229427073373742,3,CRÍTICO
120,RS,11-12 anos,Masculino,C,1,3.9925553263410927,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,Nenhum,Muito alto,33.156419776022894,1,MÉDIO
121,PA,15-16 anos,Masculino,D/E,1,6.051874560509301,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,Nenhum,Alto,48.7171137537318,0,MÉDIO
122,PA,15-16 anos,Feminino,C,1,5.487781883240902,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,Nenhum,Muito alto,28.68935775447841,2,ALTO
123,RJ,13-14 anos,Masculino,B1,1,2.6140532579617264,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,Nenhum,Muito alto,88.1223174573644,3,MÉDIO
124,SP,15-16 anos,Feminino,C,1,4.214547523148365,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,Nenhum,Médio,48.50920605424496,1,MÉDIO
125,RJ,11-12 anos,Feminino,C,1,4.257075957824629,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,Nenhum,Médio,2.487239077577458,1,MÉDIO
126,MG,15-16 anos,Feminino,C,1,1.4480355060762147,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,Nenhum,Muito alto,49.61027184310866,2,MÉDIO
127,PA,9-10 anos,Feminino,D/E,1,3.0381065459732612,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,Nenhum,Alto,53.28108560488602,1,MÉDIO
128,PA,13-14 anos,Masculino,C,1,3.4583727387718213,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,Nenhum,Alto,27.59693644267776,1,MÉDIO
129,SP,13-14 anos,Masculino,D/E,1,7.867250039641893,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,Nenhum,Alto,52.60398744485225,0,BAIXO
130,BA,11-12 anos,Feminino,D/E,1,5.382901431914705,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,Nenhum,Muito alto,7.466466791091403,1,MÉDIO
131,MG,13-14 anos,Feminino,C,0,6.324337507894999,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,Nenhum,Baixo,0.0,0,MÉDIO
132,RJ,15-16 anos,Feminino,C,1,2.002729005701576,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,Nenhum,Baixo,25.97546718551457,2,ALTO
133,SP,7-8 anos,Masculino,B2,1,7.388428966027984,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,Nenhum,Muito baixo,24.744340009997686,0,MÉDIO
134,RJ,9-10 anos,Masculino,D/E,1,7.602204126048186,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,Social engineering,Médio,19.814985548312904,1,MÉDIO
135,SC,15-16 anos,Feminino,C,1,1.0033100657107479,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,Nenhum,Baixo,75.8743881214469,2,MÉDIO
136,RJ,13-14 anos,Masculino,A,1,3.5893665521683036,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,Nenhum,Alto,5.740056060588029,2,ALTO
137,BA,15-16 anos,Feminino,B2,1,5.99153114603102,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,Nenhum,Médio,92.74083646617572,1,MÉDIO
138,CE,15-16 anos,Masculino,C,1,6.288776907076365,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,Nenhum,Muito baixo,5.086746793195681,1,MÉDIO
